Year,borough,geography,geography_id,Number,"Rate (per 1,000 tested)",Num. children < 6 w/ blood lead levels >= 5 mcg/dL (number),Perc. children < 6 w/blood lead levels >= 5 mcg/dL (percent),Num. children < 6 w/blood lead levels >= 10 mcg/dL (number),"Rate children < 6 w/blood lead levels >= 10 mcg/dL (per 1,000 tested)",
2005,New York City, New York City,1,37344 ,120.4 ,-,-,-,-,
2006,New York City, New York City,1,34630 ,110.3 ,-,-,-,-,
2007,New York City, New York City,1,30493 ,95.8 ,-,-,-,-,
2008,New York City, New York City,1,20423 ,62.3 ,-,-,-,-,
2009,New York City, New York City,1,15224 ,45.9 ,-,-,-,-,
2010,New York City, New York City,1,13951 ,40.9 ,-,-,-,-,
2011,New York City, New York City,1,11437 ,33.4 ,-,-,-,-,
2012,New York City, New York City,1,8179 ,24.9 ,-,-,-,-,
2014,New York City, New York City,1,-,-,"6,550 ",2.1 ,959 ,3.0 ,
2005,Bronx, Bronx,1,8245 ,127.7 ,-,-,-,-,
2006,Bronx, Bronx,1,7271 ,108.2 ,-,-,-,-,
2007,Bronx, Bronx,1,6174 ,90.4 ,-,-,-,-,
2008,Bronx, Bronx,1,4254 ,60.9 ,-,-,-,-,
2009,Bronx, Bronx,1,2742 ,39.2 ,-,-,-,-,
2010,Bronx, Bronx,1,2625 ,37.5 ,-,-,-,-,
2011,Bronx, Bronx,1,1996 ,28.5 ,-,-,-,-,
2012,Bronx, Bronx,1,1396 ,20.9 ,-,-,-,-,
2014,Bronx, Bronx,1,-,-,"1,186 ",1.9 ,177 ,2.8 ,
2005,Brooklyn, Brooklyn,2,15015 ,140.6 ,-,-,-,-,
2006,Brooklyn, Brooklyn,2,14199 ,136.9 ,-,-,-,-,
2007,Brooklyn, Brooklyn,2,12622 ,120.7 ,-,-,-,-,
2008,Brooklyn, Brooklyn,2,8288 ,76.6 ,-,-,-,-,
2009,Brooklyn, Brooklyn,2,6719 ,60.0 ,-,-,-,-,
2010,Brooklyn, Brooklyn,2,6182 ,52.6 ,-,-,-,-,
2011,Brooklyn, Brooklyn,2,5483 ,45.8 ,-,-,-,-,
2012,Brooklyn, Brooklyn,2,4017 ,35.3 ,-,-,-,-,
2014,Brooklyn, Brooklyn,2,-,-,"2,929 ",2.7 ,412 ,3.8 ,
2005,Manhattan, Manhattan,3,4851 ,110.6 ,-,-,-,-,
2006,Manhattan, Manhattan,3,4532 ,101.7 ,-,-,-,-,
2007,Manhattan, Manhattan,3,3935 ,88.2 ,-,-,-,-,
2008,Manhattan, Manhattan,3,2428 ,55.4 ,-,-,-,-,
2009,Manhattan, Manhattan,3,1579 ,36.4 ,-,-,-,-,
2010,Manhattan, Manhattan,3,1228 ,27.2 ,-,-,-,-,
2011,Manhattan, Manhattan,3,992 ,22.2 ,-,-,-,-,
2012,Manhattan, Manhattan,3,654 ,15.3 ,-,-,-,-,
2014,Manhattan, Manhattan,3,-,-,539 ,1.4 ,68 ,1.8 ,
2005,Queens, Queens,4,8238 ,102.5 ,-,-,-,-,
2006,Queens, Queens,4,7639 ,92.3 ,-,-,-,-,
2007,Queens, Queens,4,6699 ,79.6 ,-,-,-,-,
2008,Queens, Queens,4,4821 ,53.7 ,-,-,-,-,
2009,Queens, Queens,4,3649 ,40.2 ,-,-,-,-,
2010,Queens, Queens,4,3528 ,38.2 ,-,-,-,-,
2011,Queens, Queens,4,2649 ,28.5 ,-,-,-,-,
2012,Queens, Queens,4,1864 ,20.6 ,-,-,-,-,
2014,Queens, Queens,4,-,-,"1,658 ",1.9 ,271 ,3.0 ,
2005,Staten Island, Staten Island,5,990 ,68.2 ,-,-,-,-,
2006,Staten Island, Staten Island,5,983 ,62.9 ,-,-,-,-,
2007,Staten Island, Staten Island,5,1049 ,63.5 ,-,-,-,-,
2008,Staten Island, Staten Island,5,611 ,38.2 ,-,-,-,-,
2009,Staten Island, Staten Island,5,528 ,33.8 ,-,-,-,-,
2010,Staten Island, Staten Island,5,388 ,24.3 ,-,-,-,-,
2011,Staten Island, Staten Island,5,317 ,20.6 ,-,-,-,-,
2012,Staten Island, Staten Island,5,246 ,16.8 ,-,-,-,-,
2014,Staten Island, Staten Island,5,-,-,238 ,1.7 ,31 ,2.2 ,
2005,Queens, Bayside - Little Neck,404,103 ,53.3 ,-,-,-,-,
2006,Queens, Bayside - Little Neck,404,80 ,42.0 ,-,-,-,-,
2007,Queens, Bayside - Little Neck,404,86 ,43.5 ,-,-,-,-,
