Year,borough,geography,geography_id,Number,Percent,
2000,New York City, New York City,1,"129,694 ",66.0 ,
2001,New York City, New York City,1,"125,271 ",62.0 ,
2002,New York City, New York City,1,"125,068 ",59.0 ,
2003,New York City, New York City,1,"130,466 ",61.0 ,
2004,New York City, New York City,1,"141,582 ",66.0 ,
2005,New York City, New York City,1,"140,759 ",66.0 ,
2006,New York City, New York City,1,"150,139 ",70.0 ,
2007,New York City, New York City,1,"154,466 ",72.0 ,
2000,Bronx, Bronx,1,"28,873 ",61.0 ,
2001,Bronx, Bronx,1,"27,117 ",58.0 ,
2002,Bronx, Bronx,1,"27,019 ",62.0 ,
2003,Bronx, Bronx,1,"29,116 ",66.0 ,
2004,Bronx, Bronx,1,"30,703 ",70.0 ,
2005,Bronx, Bronx,1,"30,153 ",69.0 ,
2006,Bronx, Bronx,1,"33,350 ",76.0 ,
2007,Bronx, Bronx,1,"35,040 ",80.0 ,
2000,Brooklyn, Brooklyn,2,"43,932 ",69.0 ,
2001,Brooklyn, Brooklyn,2,"41,698 ",72.0 ,
2002,Brooklyn, Brooklyn,2,"41,534 ",58.0 ,
2003,Brooklyn, Brooklyn,2,"43,213 ",60.0 ,
2004,Brooklyn, Brooklyn,2,"48,485 ",67.0 ,
2005,Brooklyn, Brooklyn,2,"46,991 ",65.0 ,
2006,Brooklyn, Brooklyn,2,"48,719 ",68.0 ,
2007,Brooklyn, Brooklyn,2,"50,002 ",70.0 ,
2000,Manhattan, Manhattan,3,"20,380 ",56.0 ,
2001,Manhattan, Manhattan,3,"21,483 ",53.0 ,
2002,Manhattan, Manhattan,3,"20,883 ",70.0 ,
2003,Manhattan, Manhattan,3,"21,495 ",72.0 ,
2004,Manhattan, Manhattan,3,"21,242 ",71.0 ,
2005,Manhattan, Manhattan,3,"22,003 ",74.0 ,
2006,Manhattan, Manhattan,3,"22,892 ",77.0 ,
2007,Manhattan, Manhattan,3,"23,032 ",78.0 ,
2000,Queens, Queens,4,"31,341 ",44.0 ,
2001,Queens, Queens,4,"29,956 ",43.0 ,
2002,Queens, Queens,4,"30,476 ",54.0 ,
2003,Queens, Queens,4,"31,766 ",57.0 ,
2004,Queens, Queens,4,"35,070 ",63.0 ,
2005,Queens, Queens,4,"35,031 ",62.0 ,
2006,Queens, Queens,4,"37,750 ",67.0 ,
2007,Queens, Queens,4,"38,824 ",69.0 ,
2000,Staten Island, Staten Island,5,"5,148 ",39.0 ,
2001,Staten Island, Staten Island,5,"5,006 ",37.0 ,
2002,Staten Island, Staten Island,5,"5,057 ",43.0 ,
2003,Staten Island, Staten Island,5,"4,704 ",40.0 ,
2004,Staten Island, Staten Island,5,"6,079 ",52.0 ,
2005,Staten Island, Staten Island,5,"6,551 ",56.0 ,
2006,Staten Island, Staten Island,5,"7,372 ",63.0 ,
2007,Staten Island, Staten Island,5,"7,448 ",64.0 ,
2000,Queens, Bayside - Little Neck,404,655 ,72.0 ,
2001,Queens, Bayside - Little Neck,404,628 ,66.0 ,
2002,Queens, Bayside - Little Neck,404,633 ,38.0 ,
2003,Queens, Bayside - Little Neck,404,669 ,40.0 ,
2004,Queens, Bayside - Little Neck,404,815 ,48.0 ,
2005,Queens, Bayside - Little Neck,404,886 ,53.0 ,
2006,Queens, Bayside - Little Neck,404,912 ,54.0 ,
2007,Queens, Bayside - Little Neck,404,961 ,57.0 ,
2000,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"7,153 ",51.0 ,
2001,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,582 ",48.0 ,
2002,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,249 ",63.0 ,
2003,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,715 ",67.0 ,
2004,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"7,209 ",72.0 ,
2005,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,836 ",69.0 ,
2006,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,787 ",68.0 ,
2007,Brooklyn, Bedford Stuyvesant - Crown Heights,203,"6,977 ",70.0 ,
2000,Brooklyn, Bensonhurst - Bay Ridge,209,"2,192 ",41.0 ,
2001,Brooklyn, Bensonhurst - Bay Ridge,209,"2,055 ",41.0 ,
2002,Brooklyn, Bensonhurst - Bay Ridge,209,"1,957 ",46.0 ,
2003,Brooklyn, Bensonhurst - Bay Ridge,209,"2,058 ",48.0 ,
2004,Brooklyn, Bensonhurst - Bay Ridge,209,"2,648 ",62.0 ,
2005,Brooklyn, Bensonhurst - Bay Ridge,209,"2,703 ",63.0 ,
2006,Brooklyn, Bensonhurst - Bay Ridge,209,"3,013 ",70.0 ,
2007,Brooklyn, Bensonhurst - Bay Ridge,209,"3,018 ",70.0 ,
2000,Brooklyn, Borough Park,206,"4,406 ",54.0 ,
2001,Brooklyn, Borough Park,206,"4,460 ",53.0 ,
2002,Brooklyn, Borough Park,206,"4,521 ",42.0 ,
2003,Brooklyn, Borough Park,206,"4,650 ",43.0 ,
