Year,borough,geography,geography_id,Number,Percent,
2000,New York City, New York City,1,129694 ,66.0 ,
2001,New York City, New York City,1,125271 ,62.0 ,
2002,New York City, New York City,1,125068 ,59.0 ,
2003,New York City, New York City,1,130466 ,61.0 ,
2004,New York City, New York City,1,141582 ,66.0 ,
2005,New York City, New York City,1,140759 ,66.0 ,
2006,New York City, New York City,1,150139 ,70.0 ,
2007,New York City, New York City,1,154466 ,72.0 ,
2000,Bronx, Bronx,1,28873 ,61.0 ,
2001,Bronx, Bronx,1,27117 ,58.0 ,
2002,Bronx, Bronx,1,27019 ,62.0 ,
2003,Bronx, Bronx,1,29116 ,66.0 ,
2004,Bronx, Bronx,1,30703 ,70.0 ,
2005,Bronx, Bronx,1,30153 ,69.0 ,
2006,Bronx, Bronx,1,33350 ,76.0 ,
2007,Bronx, Bronx,1,35040 ,80.0 ,
2000,Brooklyn, Brooklyn,2,43932 ,69.0 ,
2001,Brooklyn, Brooklyn,2,41698 ,72.0 ,
2002,Brooklyn, Brooklyn,2,41534 ,58.0 ,
2003,Brooklyn, Brooklyn,2,43213 ,60.0 ,
2004,Brooklyn, Brooklyn,2,48485 ,67.0 ,
2005,Brooklyn, Brooklyn,2,46991 ,65.0 ,
2006,Brooklyn, Brooklyn,2,48719 ,68.0 ,
2007,Brooklyn, Brooklyn,2,50002 ,70.0 ,
2000,Manhattan, Manhattan,3,20380 ,56.0 ,
2001,Manhattan, Manhattan,3,21483 ,53.0 ,
2002,Manhattan, Manhattan,3,20883 ,70.0 ,
2003,Manhattan, Manhattan,3,21495 ,72.0 ,
2004,Manhattan, Manhattan,3,21242 ,71.0 ,
2005,Manhattan, Manhattan,3,22003 ,74.0 ,
2006,Manhattan, Manhattan,3,22892 ,77.0 ,
2007,Manhattan, Manhattan,3,23032 ,78.0 ,
2000,Queens, Queens,4,31341 ,44.0 ,
2001,Queens, Queens,4,29956 ,43.0 ,
2002,Queens, Queens,4,30476 ,54.0 ,
2003,Queens, Queens,4,31766 ,57.0 ,
2004,Queens, Queens,4,35070 ,63.0 ,
2005,Queens, Queens,4,35031 ,62.0 ,
2006,Queens, Queens,4,37750 ,67.0 ,
2007,Queens, Queens,4,38824 ,69.0 ,
2000,Staten Island, Staten Island,5,5148 ,39.0 ,
2001,Staten Island, Staten Island,5,5006 ,37.0 ,
2002,Staten Island, Staten Island,5,5057 ,43.0 ,
2003,Staten Island, Staten Island,5,4704 ,40.0 ,
2004,Staten Island, Staten Island,5,6079 ,52.0 ,
2005,Staten Island, Staten Island,5,6551 ,56.0 ,
2006,Staten Island, Staten Island,5,7372 ,63.0 ,
2007,Staten Island, Staten Island,5,7448 ,64.0 ,
2000,Queens, Bayside - Little Neck,404,655 ,72.0 ,
2001,Queens, Bayside - Little Neck,404,628 ,66.0 ,
2002,Queens, Bayside - Little Neck,404,633 ,38.0 ,
2003,Queens, Bayside - Little Neck,404,669 ,40.0 ,
2004,Queens, Bayside - Little Neck,404,815 ,48.0 ,
2005,Queens, Bayside - Little Neck,404,886 ,53.0 ,
2006,Queens, Bayside - Little Neck,404,912 ,54.0 ,
2007,Queens, Bayside - Little Neck,404,961 ,57.0 ,
2000,Brooklyn, Bedford Stuyvesant - Crown Heights,203,7153 ,51.0 ,
2001,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6582 ,48.0 ,
2002,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6249 ,63.0 ,
2003,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6715 ,67.0 ,
2004,Brooklyn, Bedford Stuyvesant - Crown Heights,203,7209 ,72.0 ,
2005,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6836 ,69.0 ,
2006,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6787 ,68.0 ,
2007,Brooklyn, Bedford Stuyvesant - Crown Heights,203,6977 ,70.0 ,
2000,Brooklyn, Bensonhurst - Bay Ridge,209,2192 ,41.0 ,
2001,Brooklyn, Bensonhurst - Bay Ridge,209,2055 ,41.0 ,
2002,Brooklyn, Bensonhurst - Bay Ridge,209,1957 ,46.0 ,
2003,Brooklyn, Bensonhurst - Bay Ridge,209,2058 ,48.0 ,
2004,Brooklyn, Bensonhurst - Bay Ridge,209,2648 ,62.0 ,
2005,Brooklyn, Bensonhurst - Bay Ridge,209,2703 ,63.0 ,
2006,Brooklyn, Bensonhurst - Bay Ridge,209,3013 ,70.0 ,
2007,Brooklyn, Bensonhurst - Bay Ridge,209,3018 ,70.0 ,
2000,Brooklyn, Borough Park,206,4406 ,54.0 ,
2001,Brooklyn, Borough Park,206,4460 ,53.0 ,
2002,Brooklyn, Borough Park,206,4521 ,42.0 ,
2003,Brooklyn, Borough Park,206,4650 ,43.0 ,
2004,Brooklyn, Borough Park,206,5638 ,52.0 ,
2005,Brooklyn, Borough Park,206,5573 ,51.0 ,
2006,Brooklyn, Borough Park,206,6014 ,55.0 ,
2007,Brooklyn, Borough Park,206,6182 ,57.0 ,
