County FIPS, County Name, #of Children Tested, Total # Children Tested 5-9 µg/dL, # of Addresses- Multiple Children w/ Confirmed EBLLs, Total #, Total %, Total Housing Units, Pre-1950 Housing Units, % of Children < 6 Under Poverty
001,Albany, 879, 67, 17, 1.9, 6, 129972, 53903, 16.0
003, Allegany, 121,  4,  7,  5.8,  0,  24505,  10725,  23.0
005, Bronx, 62823,  1072,  182,  0.3,  23,  490659,  214703,  41.0
007, Broome, 458,  26,  8,  1.7,  3,  88817,  40117,  20.0
009, Cattaraugus, 184,  14,  3,  1.6,  1,  39839,  18681,  24.0
011, Cayuga, 184,  23,  6,  3.3,  0,  35477,  17959,  18.0
013, Chautauqua, 365,  34,  11,  3.0,  4,  64900,  36268,  25.0
015, Chemung, 200,  18,  1,  0.5,  0,  37745,  18499,  22.0
017, Chenango, 135,  16,  0,  0.0,  1,  23890,  10064,  20.0
019, Clinton, 179,  7,  0,  0.0,  0,  33091,  10666,  17.0
021, Columbia, 143,  11,  4,  2.8,  3,  30207,  12741,  16.0
023, Cortland, 128,  5,  1,  0.8,  2,  20116,  9643,  19.0
025, Delaware, 111,  11,  0,  0.0,  0,  28952,  11331,  23.0
027, Dutchess, 988,  27,  4,  0.4,  7,  106103,  29187,  9.0
029, Erie, 3368,  329,  140,  4.2,  73,  415868,  185502,  21.0
031, Essex, 62,  4,  0,  0.0,  1,  23115,  10499,  16.0
033, Franklin, 151,  14,  3,  2.0,  1,  23936,  10816,  21.0
035, Fulton, 243,  48,  12,  4.9,  5,  27787,  14357,  19.0
037, Genesee, 183,  14,  3,  1.6,  1,  24190,  11908,  11.0
039, Greene, 123,  5,  1,  0.8,  1,  26544,  9641,  17.0
041, Hamilton, 11,  0,  0,  0.0,  0,  7965,  2653,  16.0
043, Herkimer, 193,  14,  4,  2.1,  3,  32026,  15998,  18.0
045, Jefferson Count 402,  18,  5,  1.2,  1,  54070,  22891,  19.0
047, Kings, 108136,  2648,  372,  0.3,  86,  930866,  544649,  35.0
049, Lewis, 73,  5,  0,  0.0,  2,  15134,  6543,  21.0
051, Livingston Coun 128,  11,  2,  1.6,  0,  24023,  10102,  15.0
053, Madison, 117,  9,  1,  0.9,  0,  28646,  12011,  15.0
055, Monroe, 2527,  178,  39,  1.5,  18,  304388,  107475,  17.0
057, Montgomery, 215,  30,  11,  5.1,  5,  22522,  13905,  22.0
059, Nassau, 5211,  67,  9,  0.2,  2,  458151,  173693,  5.0
061, New York, 41478,  590,  72,  0.2,  14,  798144,  438824,  27.0
063, Niagara, 597,  44,  10,  1.7,  9,  95715,  39923,  19.0
065, Oneida, 972,  146,  65,  6.7,  25,  102803,  48082,  23.0
067, Onondaga, 2057,  141,  46,  2.2,  21,  196633,  70520,  19.0
069, Ontario, 298,  12,  3,  1.0,  2,  42647,  16477,  11.0
071, Orange, 1357,  64,  13,  1.0,  12,  122754,  37297,  18.0
073, Orleans, 88,  11,  4,  4.5,  1,  17347,  8973,  17.0
075, Oswego, 330,  15,  4,  1.2,  2,  52831,  19626,  22.0
077, Otsego, 149,  12,  3,  2.0,  0,  28481,  14372,  21.0
079, Putnam,  253,  5,  1,  0.4,  0,  35030,  8861,  4.0
081, Queens, 89193,  1495,  261,  0.3,  46,  817250,  401821,  18.0
083, Rensselaer, 424,  32,  8,  1.9,  5,  66120,  31241,  15.0
085, Richmond, 14002,  224,  31,  0.2,  5,  163993,  42101,  13.0
087, Rockland, 1760,  36,  4,  0.2,  5,  94973,  17282,  17.0
089, St. Lawrence, 202,  10,  3,  1.5,  0,  49721,  21339,  24.0
091, Saratoga, 668,  26,  2,  0.3,  0,  86701,  20636,  6.0
093, Schenectady, 577,  41,  12,  2.1,  1,  65032,  34487,  19.0
095, Schoharie, 76,  7,  0,  0.0,  1,  15915,  6420,  15.0
097, Schuyler, 31,  1,  1,  3.2,  0,  9181,  3942,  20.0
099, Seneca, 58,  5,  1,  1.7,  0,  14794,  6890,  18.0
101, Steuben, 252,  11,  4,  1.6,  1,  46132,  20723,  22.0
103, Suffolk, 4280,  47,  9,  0.2,  8,  522323,  87634,  6.0
105, Sullivan, 183,  9,  0,  0.0,  0,  44730,  14053,  24.0
107, Tioga, 105,  8,  1,  1.0,  2,  21410,  7616,  13.0
109, Tompkins, 117,  3,  3,  2.6,  0,  38625,  13500,  16.0
111, Ulster, 440,  32,  7,  1.6,  0,  77656,  28240,  16.0
113, Warren, 212,  14,  2,  0.9,  1,  34852,  11061,  16.0
115, Washington, 159,  17,  7,  4.4,  0,  26794,  12698,  13.0
117, Wayne, 277,  14,  7,  2.5,  3,  38767,  16209,  14.0
119, Westchester, 4203,  131,  27,  0.6,  12,  349445,  147384,  11.0
121, Wyoming, 147,  11,  4,  2.7,  1,  16940,  9003,  12.0
123, Yates, 68,  9,  1,  1.5,  1,  12064,  5405,  25.0
