
"Pre-1950 Homes", ,
 ,Number,,Percent,,
Row Labels,2000,,2000,,
UHF42,
Kingsbridge - Riverdale,14782,,38,,
Northeast Bronx,25010,,34.6,,
Fordham - Bronx Pk,49818,,55.1,,
Pelham - Throgs Neck,53298,,46.7,,
Crotona -Tremont,30086,,43.8,,
High Bridge - Morrisania,28503,,43.1,,
Hunts Point - Mott Haven,14534,,33.7,,
Greenpoint,32173,,69.6,,
Downtown - Heights - Slope,75163,,77,,
Bedford Stuyvesant - Crown Heights,70709,,55.2,,
East New York,25308,,43.3,,
Sunset Park,27749,,71.9,,
Borough Park,76418,,67.4,,
East Flatbush - Flatbush,69973,,62.9,,
Canarsie - Flatlands,23699,,32.6,,
Bensonhurst - Bay Ridge,53662,,66.1,,
Coney Island - Sheepshead Bay,54793,,47.4,,
Williamsburg - Bushwick,35002,,51.6,,
Washington Heights,68317,,70.6,,
Central Harlem - Morningside Heights,36720,,51.6,,
East Harlem,14486,,35.3,,
Upper West Side,84654,,67.1,,
Upper East Side,58193,,42.7,,
Chelsea - Clinton,45000,,56.3,,
Gramercy Park - Murray Hill,34635,,40.5,,
Greenwich Village - SoHo,34430,,72.7,,
Union Square - Lower East Side,55814,,59,,
Lower Manhattan,5247,,32.6,,
Long Island City - Astoria,58458,,64.7,,
West Queens,74155,,47.3,,
Flushing - Clearview,36207,,37.3,,
Bayside - Little Neck,13796,,39,,
Ridgewood - Forest Hills,62502,,60.5,,
Fresh Meadows,15623,,43.2,,
Southwest Queens,51328,,56.4,,
Jamaica,43523,,44.6,,
Southeast Queens,32928,,48.5,,
Rockaways,13301,,31.9,,
Port Richmond,10854,,48.5,,
Stapleton - St. George,16102,,36.2,,
Willowbrook,4689,,15,,
South Beach - Tottenville,10456,,15.9,,

"Pre-1960 Homes with Peeling Paint", ,
 ,Percent,,
Row Labels,2011,,
UHF42,
Kingsbridge - Riverdale,16.2,,
Northeast Bronx,12.4,,
Fordham - Bronx Pk,20.8,,
Pelham - Throgs Neck,12.8,,
Crotona -Tremont,20.1,,
High Bridge - Morrisania,22.1,,
Hunts Point - Mott Haven,16.4,,
Greenpoint,11.7,,
Downtown - Heights - Slope,19.6,,
Bedford Stuyvesant - Crown Heights,18.2,,
East New York,12.8,,
Sunset Park,16.4,,
Borough Park,14.8,,
East Flatbush - Flatbush,21.8,,
Canarsie - Flatlands,10.8,,
Bensonhurst - Bay Ridge,11.4,,
Coney Island - Sheepshead Bay,9.6,,
Williamsburg - Bushwick,14.2,,
Washington Heights,23.8,,
Central Harlem - Morningside Heights,21.4,,
East Harlem,22.5,,
Upper West Side,14.2,,
Upper East Side,9.7,,
Chelsea - Clinton,9.5,,
Gramercy Park - Murray Hill,10.9,,
Greenwich Village - SoHo,11.4,,
Union Square - Lower East Side,16.7,,
Lower Manhattan,12,,
Long Island City - Astoria,17.4,,
West Queens,11,,
Flushing - Clearview,5.4,,
Bayside - Little Neck,4.3,,
Ridgewood - Forest Hills,11.5,,
Fresh Meadows,11.6,,
Southwest Queens,6.5,,
Jamaica,8.4,,
Southeast Queens,10.8,,
Rockaways,2.1,,
Port Richmond,3.6,,
Stapleton - St. George,3.2,,
Willowbrook,2.8,,
South Beach - Tottenville,0.4,,

"Children < 5 Years Old Living in Poverty", ,
 ,Number,,Percent,,
Row Labels,2000,,2000,,
UHF42,
Kingsbridge - Riverdale,929,,21.5,,
Northeast Bronx,2122,,21.3,,
Fordham - Bronx Pk,7818,,42,,
Pelham - Throgs Neck,5026,,29.6,,
Crotona -Tremont,7316,,48.5,,
High Bridge - Morrisania,6774,,49.9,,
Hunts Point - Mott Haven,4551,,54.8,,
Greenpoint,3621,,48.1,,
Downtown - Heights - Slope,2509,,24.8,,
Bedford Stuyvesant - Crown Heights,8379,,41.5,,
East New York,5057,,42.8,,
Sunset Park,2694,,36,,
Borough Park,6411,,33,,
East Flatbush - Flatbush,5631,,28.6,,
Canarsie - Flatlands,1846,,17.1,,
Bensonhurst - Bay Ridge,1792,,19.5,,
Coney Island - Sheepshead Bay,3677,,28.7,,
Williamsburg - Bushwick,6586,,47.6,,
Washington Heights,5602,,36.4,,
Central Harlem - Morningside Heights,3567,,43.6,,
East Harlem,2668,,45.6,,
Upper West Side,802,,9.3,,
Upper East Side,391,,4.7,,
Chelsea - Clinton,390,,14.9,,
Gramercy Park - Murray Hill,192,,5.5,,
Greenwich Village - SoHo,228,,9.8,,
Union Square - Lower East Side,1786,,26.1,,
Lower Manhattan,241,,19.4,,
Long Island City - Astoria,2899,,26.3,,
West Queens,5421,,21.4,,
Flushing - Clearview,1707,,14.6,,
Bayside - Little Neck,256,,7.2,,
Ridgewood - Forest Hills,1847,,15.6,,
Fresh Meadows,671,,12.8,,
Southwest Queens,2404,,15.7,,
Jamaica,3007,,19,,
Southeast Queens,986,,7.4,,
Rockaways,1792,,28.1,,
Port Richmond,870,,22.7,,
Stapleton - St. George,1419,,22.2,,
Willowbrook,272,,6.7,,
South Beach - Tottenville,489,,5.4,,

"Crowding", ,
 ,Number,,Percent of Households,,
Row Labels,2009-13 ACS,,2009-13 ACS,,
UHF42,
Kingsbridge - Riverdale,2148,,5.93,,
Northeast Bronx,4421,,6.48,,
Fordham - Bronx Pk,12425,,14.83,,
Pelham - Throgs Neck,9459,,8.82,,
Crotona -Tremont,10022,,14.89,,
High Bridge - Morrisania,11245,,15.93,,
Hunts Point - Mott Haven,5687,,12.71,,
Greenpoint,5563,,10.71,,
Downtown - Heights - Slope,4938,,4.96,,
Bedford Stuyvesant - Crown Heights,8454,,6.73,,
East New York,8888,,14.9,,
Sunset Park,8604,,22.14,,
Borough Park,17305,,16.25,,
East Flatbush - Flatbush,11757,,11.03,,
Canarsie - Flatlands,6080,,8.7,,
Bensonhurst - Bay Ridge,6132,,8.02,,
Coney Island - Sheepshead Bay,7572,,7.01,,
Williamsburg - Bushwick,10164,,13.95,,
Washington Heights,10771,,11.95,,
Central Harlem - Morningside Heights,4127,,6.1,,
East Harlem,3925,,9.54,,
Upper West Side,3564,,3.3,,
Upper East Side,3637,,3.15,,
Chelsea - Clinton,3166,,3.88,,
Gramercy Park - Murray Hill,2185,,3.06,,
Greenwich Village - SoHo,1903,,4.47,,
Union Square - Lower East Side,5317,,5.94,,
Lower Manhattan,1480,,5.88,,
Long Island City - Astoria,6620,,7.59,,
West Queens,24917,,16.79,,
Flushing - Clearview,8046,,8.65,,
Bayside - Little Neck,1016,,3.01,,
Ridgewood - Forest Hills,5196,,5.23,,
Fresh Meadows,2996,,8.75,,
Southwest Queens,7353,,8.61,,
Jamaica,9003,,9.63,,
Southeast Queens,3157,,3.74,,
Rockaways,3089,,7.86,,
Port Richmond,1394,,6.28,,
Stapleton - St. George,2734,,6.25,,
Willowbrook,716,,2.32,,
South Beach - Tottenville,978,,1.44,,

"Owner-Occupied Homes", ,
 ,Number,,Percent,,
Row Labels,2009-13 ACS,,2009-13 ACS,,
UHF42,
Kingsbridge - Riverdale,12919,,35.65,,
Northeast Bronx,29178,,42.77,,
Fordham - Bronx Pk,7599,,9.07,,
Pelham - Throgs Neck,30444,,28.39,,
Crotona -Tremont,4236,,6.29,,
High Bridge - Morrisania,4544,,6.44,,
Hunts Point - Mott Haven,3386,,7.57,,
Greenpoint,8698,,16.75,,
Downtown - Heights - Slope,32125,,32.26,,
Bedford Stuyvesant - Crown Heights,26337,,20.96,,
East New York,14590,,24.46,,
Sunset Park,9305,,23.94,,
Borough Park,32917,,30.9,,
East Flatbush - Flatbush,28836,,27.05,,
Canarsie - Flatlands,36748,,52.57,,
Bensonhurst - Bay Ridge,30314,,39.65,,
Coney Island - Sheepshead Bay,42569,,39.4,,
Williamsburg - Bushwick,10285,,14.12,,
Washington Heights,8856,,9.83,,
Central Harlem - Morningside Heights,9622,,14.22,,
East Harlem,2860,,6.95,,
Upper West Side,33459,,30.94,,
Upper East Side,38436,,33.26,,
Chelsea - Clinton,19607,,24.06,,
Gramercy Park - Murray Hill,23563,,32.98,,
Greenwich Village - SoHo,10555,,24.8,,
Union Square - Lower East Side,15045,,16.8,,
Lower Manhattan,5305,,21.09,,
Long Island City - Astoria,15801,,18.13,,
West Queens,47213,,31.81,,
Flushing - Clearview,45358,,48.74,,
Bayside - Little Neck,23349,,69.14,,
Ridgewood - Forest Hills,40904,,41.15,,
Fresh Meadows,17025,,49.73,,
Southwest Queens,47169,,55.25,,
Jamaica,46230,,49.46,,
Southeast Queens,63621,,75.34,,
Rockaways,15036,,38.24,,
Port Richmond,13017,,58.65,,
Stapleton - St. George,23775,,54.31,,
Willowbrook,22554,,73.07,,
South Beach - Tottenville,53634,,79.14,,

"Homes with Cracks or Holes", ,
 ,Percent of Households,,,,,
Row Labels,2002,2005,2008,2011,,
UHF42,
Kingsbridge - Riverdale,20.3,20.6,20.2,19.5,,
Northeast Bronx,16.4,14.9,14.2,18.2,,
Fordham - Bronx Pk,23.1,20.9,24.1,26.1,,
Pelham - Throgs Neck,15.3,13.3,15.1,20,,
Crotona -Tremont,27.9,28.8,24,29,,
High Bridge - Morrisania,29.4,28.6,31.3,29.3,,
Hunts Point - Mott Haven,23.5,15.8,20,33,,
Greenpoint,4,11,15.2,14.1,,
Downtown - Heights - Slope,21.2,16.1,17.3,21.4,,
Bedford Stuyvesant - Crown Heights,26.7,24.4,27,22.1,,
East New York,16.2,16.4,16.7,22.5,,
Sunset Park,16.3,11.7,10.5,19.4,,
Borough Park,15.6,17.4,13.4,14.6,,
East Flatbush - Flatbush,19.5,25,21.1,24.9,,
Canarsie - Flatlands,6.8,10,7.3,13.7,,
Bensonhurst - Bay Ridge,8.4,10.7,8.8,11.3,,
Coney Island - Sheepshead Bay,6.3,9.2,5.2,10.6,,
Williamsburg - Bushwick,19,17.9,22.7,21.4,,
Washington Heights,22.1,31.8,25.1,26.4,,
Central Harlem - Morningside Heights,28.4,20.4,16.4,24.1,,
East Harlem,18,22.3,21.1,33.2,,
Upper West Side,15.1,16.8,11,10.9,,
Upper East Side,11.8,8.1,9.2,10.6,,
Chelsea - Clinton,14.9,11.3,12.5,13.5,,
Gramercy Park - Murray Hill,9.9,9.4,5.4,8.3,,
Greenwich Village - SoHo,17.4,20,10.9,11.3,,
Union Square - Lower East Side,23.1,20.5,20.6,17.5,,
Lower Manhattan,18.2,20.3,12.1,12,,
Long Island City - Astoria,10.3,9.6,16.6,15.6,,
West Queens,10.2,9.7,11.5,11.8,,
Flushing - Clearview,5.5,6.7,8.6,4.6,,
Bayside - Little Neck,4.7,3.8,6.3,4.7,,
Ridgewood - Forest Hills,7.4,8.6,6.2,11.3,,
Fresh Meadows,2.7,7.5,7.4,8.9,,
Southwest Queens,5.1,5.7,6.4,7.3,,
Jamaica,5.3,6,5.8,9.6,,
Southeast Queens,3.5,5.3,8.1,6.7,,
Rockaways,2.9,7.5,5.1,7.5,,
Port Richmond,10.8,5.8,8.3,5.8,,
Stapleton - St. George,8.3,4.7,6.7,5.8,,
Willowbrook,5.8,3.5,5.2,5.7,,
South Beach - Tottenville,2.1,1.9,1.8,1.2,,

"Homes with Leaks", ,
 ,Percent of Households,,,,,
Row Labels,2002,2005,2008,2011,,
UHF42,
Kingsbridge - Riverdale,23.5,21.1,20.2,27.4,,
Northeast Bronx,21.3,20.3,23.1,22.3,,
