Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message,
13439,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2000,14782,,
13440,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2000,25010,,
13441,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2000,49818,,
13442,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2000,53298,,
13443,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2000,30086,,
13444,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2000,28503,,
13445,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2000,14534,,
13446,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),201,Greenpoint,2000,32173,,
13447,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2000,75163,,
13448,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2000,70709,,
13449,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),204,East New York,2000,25308,,
13450,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),205,Sunset Park,2000,27749,,
13451,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),206,Borough Park,2000,76418,,
13452,26,3,2,16,4,Pre-1950 Homes,Number,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2000,69973,,
