
"Pre-1950 Homes", ,
 ,Number,,
Row Labels,2000,,
UHF42,
Kingsbridge - Riverdale,14782,,
Northeast Bronx,25010,,
Fordham - Bronx Pk,49818,,
Pelham - Throgs Neck,53298,,
Crotona -Tremont,30086,,
High Bridge - Morrisania,28503,,
Hunts Point - Mott Haven,14534,,
Greenpoint,32173,,
Downtown - Heights - Slope,75163,,
Bedford Stuyvesant - Crown Heights,70709,,
East New York,25308,,
Sunset Park,27749,,
Borough Park,76418,,
East Flatbush - Flatbush,69973,,
Canarsie - Flatlands,23699,,
Bensonhurst - Bay Ridge,53662,,
Coney Island - Sheepshead Bay,54793,,
Williamsburg - Bushwick,35002,,
Washington Heights,68317,,
Central Harlem - Morningside Heights,36720,,
East Harlem,14486,,
Upper West Side,84654,,
Upper East Side,58193,,
Chelsea - Clinton,45000,,
Gramercy Park - Murray Hill,34635,,
Greenwich Village - SoHo,34430,,
Union Square - Lower East Side,55814,,
Lower Manhattan,5247,,
Long Island City - Astoria,58458,,
West Queens,74155,,
Flushing - Clearview,36207,,
Bayside - Little Neck,13796,,
Ridgewood - Forest Hills,62502,,
Fresh Meadows,15623,,
Southwest Queens,51328,,
Jamaica,43523,,
Southeast Queens,32928,,
Rockaways,13301,,
Port Richmond,10854,,
Stapleton - St. George,16102,,
Willowbrook,4689,,
South Beach - Tottenville,10456,,
